cal_enabled,cal_fusion_alpha,cal_confidence_threshold,cal_min_cache_size,accuracy,dataset,exp_id
False,0.7,0.6,10,26.13261326132613,fgvc,25
False,0.3,0.8,10,26.102610261026104,fgvc,7
False,0.8,0.7,20,26.102610261026104,fgvc,41
False,0.3,0.7,30,26.042604260426042,fgvc,6
False,0.3,0.6,10,26.01260126012601,fgvc,1
False,0.8,0.8,20,26.01260126012601,fgvc,44
False,0.3,0.6,20,25.982598259825984,fgvc,2
False,0.9,0.6,10,25.952595259525953,fgvc,49
False,0.5,0.8,30,25.922592259225922,fgvc,21
False,0.9,0.9,10,25.89258925892589,fgvc,58
False,0.9,0.9,20,25.862586258625864,fgvc,59
False,0.9,0.9,30,25.862586258625864,fgvc,60
False,0.9,0.6,30,25.832583258325833,fgvc,51
False,0.8,0.6,20,25.802580258025802,fgvc,38
False,0.7,0.7,10,25.77257725772577,fgvc,28
False,0.5,0.6,10,25.742574257425744,fgvc,13
False,0.5,0.9,10,25.742574257425744,fgvc,22
False,0.9,0.8,30,25.712571257125713,fgvc,57
False,0.3,0.9,30,25.682568256825682,fgvc,12
False,0.3,0.9,10,25.65256525652565,fgvc,10
False,0.5,0.9,30,25.622562256225624,fgvc,24
False,0.8,0.9,20,25.622562256225624,fgvc,47
False,0.8,0.6,30,25.592559255925593,fgvc,39
False,0.5,0.7,20,25.562556255625562,fgvc,17
False,0.3,0.6,30,25.562556255625562,fgvc,3
False,0.5,0.6,30,25.562556255625562,fgvc,15
False,0.7,0.8,30,25.562556255625562,fgvc,33
False,0.7,0.6,20,25.53255325532553,fgvc,26
False,0.7,0.7,20,25.53255325532553,fgvc,29
False,0.8,0.8,30,25.53255325532553,fgvc,45
False,0.9,0.8,10,25.502550255025504,fgvc,55
False,0.8,0.9,30,25.502550255025504,fgvc,48
False,0.3,0.8,20,25.502550255025504,fgvc,8
False,0.5,0.9,20,25.472547254725473,fgvc,23
False,0.5,0.8,10,25.472547254725473,fgvc,19
False,0.9,0.7,30,25.442544254425442,fgvc,54
False,0.8,0.6,10,25.442544254425442,fgvc,37
False,0.8,0.7,30,25.41254125412541,fgvc,42
False,0.8,0.8,10,25.41254125412541,fgvc,43
False,0.7,0.9,20,25.382538253825384,fgvc,35
False,0.8,0.7,10,25.382538253825384,fgvc,40
False,0.5,0.8,20,25.382538253825384,fgvc,20
False,0.8,0.9,10,25.352535253525353,fgvc,46
False,0.9,0.8,20,25.322532253225322,fgvc,56
False,0.7,0.6,30,25.29252925292529,fgvc,27
False,0.3,0.8,30,25.262526252625264,fgvc,9
False,0.3,0.7,20,25.262526252625264,fgvc,5
False,0.7,0.9,30,25.232523252325233,fgvc,36
False,0.5,0.7,30,25.232523252325233,fgvc,18
False,0.5,0.7,10,25.202520252025202,fgvc,16
False,0.9,0.6,20,25.202520252025202,fgvc,50
False,0.9,0.7,20,25.17251725172517,fgvc,53
False,0.7,0.9,10,25.142514251425144,fgvc,34
False,0.3,0.7,10,25.112511251125113,fgvc,4
False,0.5,0.6,20,25.112511251125113,fgvc,14
False,0.9,0.7,10,24.992499249924993,fgvc,52
False,0.7,0.7,30,24.992499249924993,fgvc,30
False,0.3,0.9,20,24.962496249624962,fgvc,11
False,0.7,0.8,20,24.842484248424842,fgvc,32
False,0.7,0.8,10,24.512451245124513,fgvc,31
